Time (UNIX Localtime format), Voltage 1 (V), Voltage 2 (V), Current (A), Power (W), Temperature (°C), SOC (%), Power Status
1692368875,13.659,0.010,-10.456,-142.82,17.25,,OFF
1692368876,13.661,0.010,-10.465,-142.96,17.25,,OFF
1692368877,13.662,0.012,-10.506,-143.53,17.25,,OFF
1692368878,13.659,0.010,-10.469,-143.00,17.25,,OFF
1692368879,13.661,0.009,-10.436,-142.57,17.25,,OFF
1692368880,13.663,0.013,-10.481,-143.20,17.25,,OFF
1692368881,13.662,0.011,-10.436,-142.58,17.25,,OFF
1692368882,13.663,0.013,-10.466,-143.00,17.25,,OFF
1692368883,13.664,0.013,-10.420,-142.38,17.25,,OFF
1692368884,13.716,0.013,-15.007,-205.84,17.25,,OFF
1692368885,13.729,0.011,-11.312,-155.30,17.25,,OFF
1692368886,13.676,0.010,-8.810,-120.49,17.25,,OFF
1692368887,13.657,0.014,-8.889,-121.40,17.25,,OFF
1692368888,13.645,0.012,-8.951,-122.14,17.25,,OFF
1692368889,13.636,0.011,-8.997,-122.68,17.25,,OFF
1692368890,13.633,0.011,-8.966,-122.23,17.25,,OFF
1692368891,13.629,0.013,-8.978,-122.36,17.25,,OFF
1692368892,13.623,0.011,-8.981,-122.35,17.25,,OFF
1692368893,13.637,0.014,-10.394,-141.74,17.25,,OFF
1692368894,13.643,0.013,-10.458,-142.68,17.25,,OFF
1692368895,13.652,0.013,-10.403,-142.02,17.25,,OFF
1692368896,13.654,0.012,-10.416,-142.22,17.25,,OFF
1692368897,13.657,0.014,-10.384,-141.81,17.25,,OFF
1692368898,13.723,0.013,-14.984,-205.63,17.25,,OFF
1692368899,13.752,0.013,-14.888,-204.74,17.25,,OFF
1692368900,13.772,0.010,-14.834,-204.29,17.25,,OFF
1692368901,13.782,0.010,-14.755,-203.35,17.25,,OFF
1692368902,13.795,0.012,-14.772,-203.78,17.25,,OFF
1692368903,13.798,0.011,-14.754,-203.58,17.25,,OFF
1692368904,13.808,0.015,-14.712,-203.14,17.25,,OFF
1692368905,13.736,0.012,-8.497,-116.71,17.25,,OFF
1692368906,13.695,0.010,-8.641,-118.34,17.25,,OFF
1692368907,13.676,0.011,-8.714,-119.17,17.25,,OFF
1692368908,13.663,0.013,-8.809,-120.36,17.25,,OFF
1692368909,13.666,0.012,-10.246,-140.02,17.25,,OFF
1692368910,13.648,0.012,-8.843,-120.69,17.25,,OFF
1692368911,13.642,0.013,-8.871,-121.02,17.25,,OFF
1692368912,13.638,0.013,-8.938,-121.90,17.25,,OFF
1692368913,13.632,0.013,-8.949,-121.99,17.25,,OFF
1692368914,13.631,0.011,-8.952,-122.02,17.25,,OFF
1692368915,13.628,0.010,-8.954,-122.03,17.25,,OFF
1692368916,13.630,0.014,-8.975,-122.33,17.25,,OFF
1692368917,13.625,0.011,-8.995,-122.56,17.25,,OFF
1692368918,13.626,0.014,-8.941,-121.83,17.25,,OFF
1692368919,13.625,0.012,-8.974,-122.27,17.25,,OFF
1692368920,13.622,0.012,-8.975,-122.26,17.25,,OFF
1692368921,13.625,0.010,-8.963,-122.12,17.25,,OFF
1692368922,13.620,0.010,-8.935,-121.69,17.25,,OFF
1692368923,13.624,0.013,-8.976,-122.29,17.25,,OFF
1692368924,13.624,0.014,-8.954,-121.99,17.25,,OFF
1692368925,13.624,0.013,-8.995,-122.55,17.25,,OFF
1692368926,13.631,0.012,-10.341,-140.96,17.25,,OFF
1692368927,13.643,0.012,-10.400,-141.89,17.25,,OFF
1692368928,13.652,0.013,-10.383,-141.75,17.25,,OFF
1692368929,13.637,0.009,-8.915,-121.57,17.25,,OFF
1692368930,13.630,0.012,-8.902,-121.33,17.25,,OFF
1692368931,13.628,0.014,-8.916,-121.51,17.25,,OFF
1692368932,13.628,0.012,-8.959,-122.09,17.25,,OFF
1692368933,13.628,0.015,-8.939,-121.82,17.25,,OFF
1692368934,13.627,0.012,-8.963,-122.14,17.25,,OFF
1692368935,13.626,0.011,-8.960,-122.09,17.25,,OFF
1692368936,13.622,0.013,-8.946,-121.86,17.25,,OFF
1692368937,13.620,0.014,-8.507,-115.87,17.25,,OFF
1692368938,13.618,0.012,-8.603,-117.16,17.25,,OFF
1692368939,13.615,0.012,-8.644,-117.69,17.25,,OFF
1692368940,13.618,0.013,-8.864,-120.71,17.25,,OFF
1692368941,13.615,0.013,-8.517,-115.96,17.25,,OFF
1692368942,13.623,0.012,-9.896,-134.81,17.25,,OFF
1692368943,13.621,0.009,-8.990,-122.45,17.25,,OFF
1692368944,13.622,0.013,-8.954,-121.97,17.25,,OFF
1692368945,13.612,0.012,-7.799,-106.16,17.25,,OFF
1692368946,13.606,0.009,-7.878,-107.19,17.25,,OFF
1692368947,13.609,0.013,-8.539,-116.21,17.25,,OFF
1692368948,13.603,0.010,-8.050,-109.50,17.25,,OFF
1692368949,13.599,0.013,-8.274,-112.52,17.25,,OFF
1692368950,13.601,0.013,-8.270,-112.48,17.25,,OFF
1692368951,13.600,0.015,-7.948,-108.09,17.25,,OFF
1692368952,13.595,0.011,-7.961,-108.23,17.25,,OFF
1692368953,13.597,0.008,-8.894,-120.93,17.25,,OFF
1692368954,13.604,0.011,-7.850,-106.79,17.25,,OFF
1692368955,13.599,0.011,-7.954,-108.17,17.25,,OFF
1692368956,13.603,0.012,-8.887,-120.89,17.25,,OFF
1692368957,13.601,0.014,-8.585,-116.76,17.25,,OFF
1692368958,13.603,0.012,-8.782,-119.46,17.25,,OFF
1692368959,13.601,0.011,-8.190,-111.39,17.25,,OFF
1692368960,13.609,0.009,-9.497,-129.24,17.25,,OFF
1692368961,13.621,0.011,-9.930,-135.26,17.25,,OFF
1692368962,13.622,0.011,-8.522,-116.09,17.25,,OFF
1692368963,13.615,0.013,-8.406,-114.45,17.25,,OFF
1692368964,13.610,0.013,-8.699,-118.39,17.25,,OFF
1692368965,13.610,0.013,-8.778,-119.47,17.25,,OFF
1692368966,13.608,0.014,-8.469,-115.25,17.25,,OFF
1692368967,13.610,0.014,-8.475,-115.34,17.25,,OFF
1692368968,13.610,0.013,-8.893,-121.03,17.25,,OFF
1692368969,13.610,0.011,-8.841,-120.33,17.25,,OFF
1692368970,13.604,0.010,-8.534,-116.10,17.25,,OFF
1692368971,13.601,0.013,-8.011,-108.96,17.25,,OFF
1692368972,13.601,0.011,-7.929,-107.84,17.25,,OFF
1692368973,13.599,0.011,-8.093,-110.06,17.25,,OFF
1692368974,13.617,0.012,-9.512,-129.52,17.25,,OFF
1692368975,13.629,0.012,-9.601,-130.85,17.25,,OFF
1692368976,13.613,0.011,-8.615,-117.28,17.25,,OFF
1692368977,13.611,0.014,-8.711,-118.57,17.25,,OFF
1692368978,13.602,0.012,-7.963,-108.31,17.25,,OFF
1692368979,13.556,0.014,-4.161,-56.41,17.25,,OFF
1692368980,13.555,0.013,-6.136,-83.17,17.25,,OFF
1692368981,13.591,0.011,-10.099,-137.26,17.25,,OFF
1692368982,13.606,0.011,-9.404,-127.95,17.25,,OFF
1692368983,13.619,0.012,-9.552,-130.09,17.25,,OFF
1692368984,13.628,0.011,-9.747,-132.83,17.25,,OFF
1692368985,13.685,0.011,-14.663,-200.66,17.25,,OFF
1692368986,13.718,0.013,-13.903,-190.72,17.25,,OFF
1692368987,13.741,0.010,-14.449,-198.54,17.25,,OFF
1692368988,13.755,0.013,-13.882,-190.95,17.25,,OFF
1692368989,13.768,0.012,-13.822,-190.30,17.25,,OFF
1692368990,13.770,0.012,-13.505,-185.96,17.25,,OFF
1692368991,13.788,0.011,-14.615,-201.51,17.25,,OFF
1692368992,13.769,0.011,-11.829,-162.87,17.25,,OFF
1692368993,13.759,0.010,-11.931,-164.16,17.25,,OFF
1692368994,13.751,0.013,-11.978,-164.71,17.25,,OFF
1692368995,13.751,0.011,-12.098,-166.36,17.25,,OFF
1692368996,13.751,0.011,-12.063,-165.88,17.25,,OFF
1692368997,13.769,0.013,-14.583,-200.79,17.25,,OFF
1692368998,13.793,0.011,-14.666,-202.29,17.25,,OFF
1692368999,13.805,0.011,-14.612,-201.72,17.25,,OFF
1692369000,13.814,0.011,-14.559,-201.12,17.25,,OFF
1692369001,13.820,0.014,-14.579,-201.48,17.25,,OFF
1692369002,13.823,0.012,-14.562,-201.29,17.25,,OFF
1692369003,13.823,0.011,-14.529,-200.83,17.25,,OFF
1692369004,13.829,0.012,-14.540,-201.07,17.25,,OFF
1692369005,13.829,0.011,-14.540,-201.07,17.25,,OFF
1692369006,13.833,0.012,-14.559,-201.39,17.25,,OFF
1692369007,13.834,0.011,-14.533,-201.05,17.25,,OFF
1692369008,13.838,0.014,-14.578,-201.73,17.25,,OFF
1692369009,13.837,0.011,14.542,201.22,17.25,,OFF
1692369010,13.839,0.013,14.553,201.40,17.25,,OFF
1692369011,13.839,0.014,14.550,201.36,17.25,,OFF
1692369012,13.840,0.014,14.546,201.32,17.25,,OFF
1692369013,13.841,0.016,14.527,201.07,17.25,,OFF
1692369014,13.840,0.015,14.587,201.88,17.25,,OFF
1692369015,13.841,0.012,14.556,201.47,17.25,,OFF
1692369016,13.841,0.014,14.573,201.70,17.25,,OFF
1692369017,13.842,0.011,14.544,201.32,17.25,,OFF
1692369018,13.846,0.014,14.551,201.47,17.25,,OFF
1692369019,13.846,0.015,14.582,201.90,17.25,,OFF
1692369020,13.842,0.011,14.606,202.18,17.25,,OFF
1692369021,13.848,0.013,14.581,201.92,17.25,,OFF
1692369022,13.841,0.014,13.785,190.80,17.25,,OFF
1692369023,13.787,0.013,9.838,135.64,17.25,,OFF
1692369024,13.757,0.012,9.985,137.36,17.25,,OFF
1692369025,13.740,0.014,10.084,138.55,17.25,,OFF
1692369026,13.728,0.013,10.135,139.13,17.25,,OFF
1692369027,13.721,0.010,10.163,139.45,17.25,,OFF
1692369028,13.735,0.014,13.510,185.56,17.25,,OFF
1692369029,13.783,0.011,14.774,203.63,17.25,,OFF
1692369030,13.808,0.014,14.709,203.10,17.25,,OFF
1692369031,13.821,0.010,14.647,202.44,17.25,,OFF
1692369032,13.826,0.010,14.550,201.17,17.25,,OFF
1692369033,13.837,0.012,14.557,201.43,17.25,,OFF
1692369034,13.836,0.013,14.366,198.77,17.25,,OFF
1692369035,13.839,0.012,14.356,198.67,17.25,,OFF
1692369036,13.840,0.012,14.350,198.60,17.25,,OFF
1692369037,13.841,0.011,14.433,199.77,17.25,,OFF
1692369038,13.842,0.009,14.418,199.57,17.25,,OFF
1692369039,13.845,0.012,14.459,200.18,17.25,,OFF
1692369040,13.847,0.014,14.423,199.72,17.25,,OFF
1692369041,13.848,0.012,14.418,199.66,17.25,,OFF
1692369042,13.848,0.010,14.393,199.31,17.25,,OFF
1692369043,13.851,0.013,14.434,199.93,17.25,,OFF
1692369044,13.851,0.014,14.426,199.81,17.25,,OFF
1692369045,13.853,0.012,14.438,200.01,17.25,,OFF
1692369046,13.852,0.012,14.338,198.61,17.25,,OFF
1692369047,13.849,0.010,14.401,199.44,17.25,,OFF
1692369048,13.850,0.013,14.397,199.40,17.25,,OFF
1692369049,13.811,0.015,9.594,132.50,17.25,,OFF
1692369050,13.772,0.013,9.751,134.29,17.25,,OFF
1692369051,13.749,0.012,9.839,135.28,17.25,,OFF
1692369052,13.736,0.010,9.882,135.74,17.25,,OFF
1692369053,13.729,0.010,9.940,136.47,17.25,,OFF
1692369054,13.724,0.011,9.968,136.80,17.25,,OFF
1692369055,13.718,0.012,9.995,137.11,17.25,,OFF
1692369056,13.717,0.013,10.011,137.32,17.25,,OFF
1692369057,13.712,0.013,10.009,137.24,17.25,,OFF
1692369058,13.711,0.014,10.014,137.30,17.25,,OFF
1692369059,13.711,0.012,10.020,137.38,17.25,,OFF
1692369060,13.712,0.014,9.959,136.56,17.25,,OFF
1692369061,13.709,0.016,10.004,137.14,17.25,,OFF
1692369062,13.709,0.013,9.995,137.02,17.25,,OFF
1692369063,13.706,0.012,10.003,137.10,17.25,,OFF
1692369064,13.705,0.012,10.001,137.06,17.25,,OFF
1692369065,13.705,0.013,10.005,137.12,17.25,,OFF
1692369066,13.703,0.009,10.026,137.39,17.25,,OFF
1692369067,13.705,0.012,10.013,137.23,17.25,,OFF
1692369068,13.702,0.014,9.993,136.92,17.25,,OFF
1692369069,13.706,0.011,10.013,137.24,17.25,,OFF
1692369070,13.703,0.011,10.018,137.28,17.25,,OFF
1692369071,13.704,0.013,9.997,137.00,17.25,,OFF
1692369072,13.703,0.009,10.022,137.33,17.25,,OFF
1692369073,13.703,0.012,9.988,136.87,17.25,,OFF
1692369074,13.702,0.013,10.001,137.03,17.25,,OFF
1692369075,13.705,0.010,9.980,136.78,17.25,,OFF
1692369076,13.703,0.012,9.998,137.00,17.25,,OFF
1692369077,13.706,0.013,10.007,137.16,17.25,,OFF
1692369078,13.706,0.012,10.007,137.16,17.25,,OFF
1692369079,13.703,0.011,9.972,136.65,17.25,,OFF
1692369080,13.701,0.013,9.977,136.69,17.25,,OFF
1692369081,13.703,0.011,9.983,136.80,17.25,,OFF
1692369082,13.703,0.010,9.967,136.58,17.25,,OFF
1692369083,13.704,0.013,9.959,136.48,17.25,,OFF
1692369084,13.705,0.012,9.993,136.95,17.25,,OFF
1692369085,13.702,0.012,9.954,136.39,17.25,,OFF
1692369086,13.702,0.010,9.966,136.55,17.25,,OFF
1692369087,13.701,0.012,9.960,136.46,17.25,,OFF
1692369088,13.702,0.011,9.986,136.83,17.25,,OFF
1692369089,13.702,0.012,9.961,136.49,17.25,,OFF
1692369090,13.703,0.014,9.949,136.33,17.25,,OFF
1692369091,13.704,0.011,9.973,136.67,17.25,,OFF
1692369092,13.701,0.011,9.980,136.74,17.25,,OFF
1692369093,13.703,0.012,9.939,136.19,17.25,,OFF
1692369094,13.705,0.012,9.964,136.56,17.25,,OFF
1692369095,13.702,0.013,9.958,136.44,17.25,,OFF
1692369096,13.702,0.012,9.941,136.21,17.25,,OFF
1692369097,13.703,0.014,9.967,136.58,17.25,,OFF
1692369098,13.704,0.011,9.955,136.42,17.25,,OFF
1692369099,13.702,0.014,9.929,136.05,17.25,,OFF
1692369100,13.702,0.011,9.965,136.54,17.25,,OFF
1692369101,13.702,0.011,9.957,136.43,17.25,,OFF
1692369102,13.704,0.013,9.988,136.88,17.25,,OFF
1692369103,13.704,0.012,9.967,136.59,17.25,,OFF
1692369104,13.704,0.013,9.986,136.85,17.25,,OFF
1692369105,13.704,0.010,9.972,136.66,17.25,,OFF
1692369106,13.703,0.011,9.979,136.74,17.25,,OFF
1692369107,13.706,0.013,9.967,136.61,17.25,,OFF
1692369108,13.704,0.012,9.991,136.92,17.25,,OFF
1692369109,13.706,0.012,9.962,136.54,17.25,,OFF
1692369110,13.705,0.013,9.942,136.26,17.25,,OFF
1692369111,13.706,0.014,9.939,136.22,17.25,,OFF
1692369112,13.703,0.012,9.973,136.66,17.25,,OFF
1692369113,13.705,0.013,9.952,136.39,17.25,,OFF
1692369114,13.706,0.011,9.942,136.27,17.25,,OFF
1692369115,13.707,0.013,9.970,136.66,17.25,,OFF
1692369116,13.706,0.012,9.970,136.65,17.25,,OFF
1692369117,13.705,0.011,10.004,137.10,17.25,,OFF
1692369118,13.703,0.012,9.929,136.06,17.25,,OFF
1692369119,13.704,0.011,9.980,136.77,17.25,,OFF
1692369120,13.706,0.014,9.937,136.20,17.25,,OFF
1692369121,13.705,0.009,9.958,136.47,17.25,,OFF
1692369122,13.707,0.013,9.957,136.48,17.25,,OFF
1692369123,13.705,0.013,9.954,136.42,17.25,,OFF
1692369124,13.703,0.014,9.947,136.30,17.25,,OFF
1692369125,13.705,0.012,9.953,136.41,17.25,,OFF
1692369126,13.706,0.014,9.942,136.27,17.25,,OFF
1692369127,13.704,0.011,9.932,136.11,17.25,,OFF
1692369128,13.705,0.012,9.925,136.02,17.25,,OFF
1692369129,13.708,0.013,9.914,135.90,17.25,,OFF
1692369130,13.706,0.013,9.947,136.33,17.25,,OFF
1692369131,13.707,0.013,9.955,136.45,17.25,,OFF
1692369132,13.703,0.010,9.924,135.99,17.25,,OFF
1692369133,13.707,0.011,9.920,135.97,17.25,,OFF
1692369134,13.701,0.012,9.919,135.90,17.25,,OFF
1692369135,13.706,0.013,9.934,136.16,17.25,,OFF
1692369136,13.705,0.010,9.940,136.23,17.25,,OFF
1692369137,13.707,0.011,9.917,135.93,17.25,,OFF
1692369138,13.709,0.014,9.917,135.95,17.25,,OFF
1692369139,13.708,0.011,9.928,136.09,17.25,,OFF
1692369140,13.709,0.014,9.964,136.60,17.25,,OFF
1692369141,13.707,0.014,9.915,135.90,17.25,,OFF
1692369142,13.705,0.012,9.915,135.89,17.25,,OFF
1692369143,13.708,0.013,9.930,136.12,17.25,,OFF
1692369144,13.707,0.011,9.921,135.99,17.25,,OFF
1692369145,13.706,0.011,9.933,136.14,17.25,,OFF
1692369146,13.707,0.015,9.924,136.03,17.25,,OFF
1692369147,13.729,0.015,13.984,191.99,17.25,,OFF
1692369148,13.719,0.013,9.813,134.62,17.25,,OFF
1692369149,13.714,0.012,9.883,135.54,17.25,,OFF
1692369150,13.712,0.012,9.864,135.26,17.25,,OFF
1692369151,13.709,0.011,9.866,135.25,17.25,,OFF
1692369152,13.687,0.012,8.444,115.57,17.25,,OFF
1692369153,13.682,0.014,8.491,116.17,17.25,,OFF
1692369154,13.676,0.013,8.454,115.62,17.25,,OFF
1692369155,13.671,0.012,8.503,116.24,17.50,,OFF
1692369156,13.668,0.012,8.508,116.29,17.50,,OFF
1692369157,13.667,0.012,8.503,116.21,17.50,,OFF
1692369158,13.666,0.013,8.530,116.57,17.50,,OFF
1692369159,13.662,0.013,8.542,116.70,17.50,,OFF
1692369160,13.660,0.010,8.517,116.34,17.25,,OFF
1692369161,13.659,0.011,8.558,116.89,17.25,,OFF
1692369162,13.661,0.013,8.616,117.70,17.25,,OFF
1692369163,13.661,0.014,8.543,116.71,17.25,,OFF
1692369164,13.658,0.011,8.512,116.26,17.50,,OFF
1692369165,13.657,0.013,8.590,117.31,17.50,,OFF
1692369166,13.654,0.011,8.547,116.70,17.50,,OFF
1692369167,13.656,0.012,8.593,117.35,17.50,,OFF
1692369168,13.674,0.014,9.888,135.21,17.25,,OFF
1692369169,13.683,0.014,9.973,136.46,17.25,,OFF
1692369170,13.686,0.013,9.948,136.15,17.25,,OFF
1692369171,13.691,0.012,9.933,135.99,17.25,,OFF
1692369172,13.694,0.013,9.948,136.23,17.25,,OFF
1692369173,13.698,0.015,9.902,135.64,17.25,,OFF
1692369174,13.700,0.013,9.957,136.41,17.25,,OFF
1692369175,13.701,0.011,9.890,135.50,17.25,,OFF
1692369176,13.702,0.011,9.900,135.65,17.25,,OFF
1692369177,13.701,0.011,9.888,135.48,17.25,,OFF
1692369178,13.702,0.011,9.873,135.28,17.25,,OFF
1692369179,13.703,0.013,9.849,134.96,17.25,,OFF
1692369180,13.706,0.013,9.904,135.74,17.25,,OFF
1692369181,13.706,0.013,9.918,135.94,17.25,,OFF
1692369182,13.704,0.013,9.869,135.24,17.25,,OFF
1692369183,13.708,0.014,9.869,135.28,17.25,,OFF
1692369184,13.706,0.013,9.930,136.10,17.25,,OFF
1692369185,13.699,0.014,8.489,116.29,17.25,,OFF
1692369186,13.683,0.013,8.443,115.53,17.25,,OFF
1692369187,13.680,0.014,8.513,116.46,17.25,,OFF
1692369188,13.672,0.010,8.521,116.50,17.25,,OFF
1692369189,13.670,0.011,8.536,116.69,17.25,,OFF
1692369190,13.665,0.009,8.533,116.60,17.25,,OFF
1692369191,13.665,0.013,8.531,116.58,17.25,,OFF
1692369192,13.665,0.012,8.532,116.59,17.25,,OFF
1692369193,13.662,0.009,8.591,117.37,17.25,,OFF
1692369194,13.662,0.010,8.576,117.17,17.25,,OFF
1692369195,13.658,0.010,8.528,116.48,17.25,,OFF
1692369196,13.660,0.015,8.525,116.45,17.25,,OFF
1692369197,13.658,0.013,8.519,116.35,17.25,,OFF
1692369198,13.659,0.013,8.561,116.93,17.25,,OFF
1692369199,13.659,0.014,8.590,117.33,17.25,,OFF
1692369200,13.656,0.011,8.572,117.06,17.25,,OFF
1692369201,13.658,0.012,8.587,117.28,17.25,,OFF
1692369202,13.658,0.014,8.641,118.02,17.25,,OFF
1692369203,13.656,0.014,8.621,117.73,17.25,,OFF
1692369204,13.658,0.015,8.619,117.72,17.25,,OFF
1692369205,13.658,0.012,8.642,118.03,17.25,,OFF
1692369206,13.671,0.014,10.038,137.23,17.25,,OFF
1692369207,13.683,0.011,10.054,137.57,17.25,,OFF
1692369208,13.688,0.013,10.025,137.22,17.25,,OFF
1692369209,13.693,0.012,9.997,136.89,17.25,,OFF
1692369210,13.697,0.012,10.008,137.08,17.25,,OFF
1692369211,13.697,0.011,10.000,136.97,17.25,,OFF
1692369212,13.702,0.014,9.981,136.76,17.25,,OFF
1692369213,13.703,0.011,9.964,136.54,17.25,,OFF
1692369214,13.708,0.014,9.981,136.82,17.25,,OFF
1692369215,13.705,0.013,9.964,136.56,17.25,,OFF
1692369216,13.708,0.015,9.955,136.46,17.25,,OFF
1692369217,13.707,0.014,9.947,136.34,17.25,,OFF
1692369218,13.705,0.011,9.908,135.79,17.25,,OFF
1692369219,13.709,0.011,9.947,136.36,17.25,,OFF
1692369220,13.710,0.014,9.941,136.29,17.25,,OFF
1692369221,13.708,0.012,9.950,136.39,17.25,,OFF
1692369222,13.711,0.014,9.914,135.93,17.25,,OFF
1692369223,13.711,0.013,9.981,136.85,17.25,,OFF
1692369224,13.703,0.015,9.240,126.62,17.25,,OFF
1692369225,13.699,0.012,9.228,126.41,17.25,,OFF
1692369226,13.698,0.011,9.225,126.36,17.25,,OFF
1692369227,13.657,0.014,5.397,73.71,17.25,,OFF
1692369228,13.634,0.012,6.842,93.28,17.25,,OFF
1692369229,13.630,0.013,7.002,95.44,17.25,,OFF
1692369230,13.651,0.012,9.543,130.27,17.25,,OFF
1692369231,13.672,0.013,10.124,138.42,17.25,,OFF
1692369232,13.726,0.010,14.586,200.21,17.25,,OFF
1692369233,13.768,0.013,14.495,199.57,17.25,,OFF
1692369234,13.793,0.012,14.246,196.50,17.25,,OFF
1692369235,13.740,0.012,9.749,133.95,17.25,,OFF
1692369236,13.730,0.012,9.827,134.92,17.25,,OFF
1692369237,13.723,0.010,9.885,135.65,17.25,,OFF
1692369238,13.722,0.011,9.946,136.48,17.25,,OFF
1692369239,13.720,0.011,9.987,137.02,17.25,,OFF
1692369240,13.718,0.011,9.970,136.77,17.25,,OFF
1692369241,13.718,0.013,9.998,137.15,17.25,,OFF
1692369242,13.715,0.014,10.001,137.16,17.25,,OFF
1692369243,13.714,0.012,10.033,137.59,17.25,,OFF
1692369244,13.716,0.014,9.974,136.80,17.25,,OFF
1692369245,13.716,0.012,10.059,137.97,17.25,,OFF
1692369246,13.715,0.011,10.000,137.15,17.25,,OFF
1692369247,13.715,0.013,10.034,137.62,17.25,,OFF
1692369248,13.716,0.014,10.068,138.09,17.25,,OFF
1692369249,13.717,0.012,9.994,137.09,17.25,,OFF
1692369250,13.716,0.012,10.055,137.91,17.25,,OFF
1692369251,13.718,0.012,10.041,137.74,17.25,,OFF
1692369252,13.717,0.012,10.066,138.08,17.25,,OFF
1692369253,13.716,0.010,10.098,138.50,17.25,,OFF
1692369254,13.718,0.013,10.078,138.25,17.25,,OFF
1692369255,13.720,0.014,10.067,138.12,17.25,,OFF
1692369256,13.718,0.011,10.050,137.87,17.25,,OFF
1692369257,13.715,0.014,10.088,138.36,17.25,,OFF
1692369258,13.717,0.012,10.034,137.64,17.25,,OFF
1692369259,13.718,0.011,10.068,138.11,17.25,,OFF
1692369260,13.719,0.010,10.030,137.60,17.25,,OFF
1692369261,13.720,0.012,10.083,138.34,17.25,,OFF
1692369262,13.718,0.015,10.037,137.69,17.25,,OFF
1692369263,13.718,0.012,10.084,138.33,17.25,,OFF
1692369264,13.718,0.010,10.063,138.04,17.25,,OFF
1692369265,13.720,0.011,10.089,138.42,17.25,,OFF
1692369266,13.717,0.010,10.068,138.10,17.25,,OFF
1692369267,13.721,0.013,10.043,137.80,17.25,,OFF
1692369268,13.720,0.011,10.009,137.32,17.25,,OFF
1692369269,13.718,0.011,9.923,136.12,17.25,,OFF
1692369270,13.716,0.014,9.708,133.15,17.25,,OFF
1692369271,13.715,0.014,9.866,135.31,17.25,,OFF
1692369272,13.716,0.011,10.099,138.52,17.25,,OFF
1692369273,13.718,0.009,10.114,138.74,17.25,,OFF
1692369274,13.718,0.009,10.096,138.50,17.25,,OFF
1692369275,13.721,0.013,10.096,138.53,17.25,,OFF
1692369276,13.722,0.012,10.119,138.85,17.25,,OFF
1692369277,13.719,0.010,10.100,138.56,17.25,,OFF
1692369278,13.721,0.013,10.123,138.90,17.25,,OFF
1692369279,13.722,0.010,10.103,138.63,17.25,,OFF
1692369280,13.717,0.010,9.813,134.60,17.25,,OFF
1692369281,13.714,0.013,9.758,133.82,17.25,,OFF
1692369282,13.717,0.012,10.122,138.84,17.25,,OFF
1692369283,13.719,0.012,10.096,138.51,17.25,,OFF
1692369284,13.719,0.011,10.127,138.93,17.25,,OFF
1692369285,13.719,0.011,10.103,138.60,17.25,,OFF
1692369286,13.720,0.013,10.154,139.31,17.25,,OFF
1692369287,13.723,0.013,10.124,138.93,17.25,,OFF
1692369288,13.723,0.013,10.095,138.53,17.25,,OFF
1692369289,13.722,0.014,10.098,138.56,17.25,,OFF
1692369290,13.724,0.010,10.094,138.53,17.25,,OFF
1692369291,13.722,0.010,10.128,138.98,17.25,,OFF
1692369292,13.723,0.012,10.118,138.85,17.25,,OFF
1692369293,13.720,0.010,10.174,139.59,17.25,,OFF
1692369294,13.722,0.013,10.098,138.56,17.25,,OFF
1692369295,13.724,0.012,10.085,138.41,17.25,,OFF
1692369296,13.723,0.010,10.110,138.74,17.25,,OFF
1692369297,13.724,0.011,10.127,138.98,17.25,,OFF
1692369298,13.724,0.013,10.106,138.69,17.25,,OFF
1692369299,13.725,0.012,10.095,138.55,17.25,,OFF
1692369300,13.722,0.010,10.139,139.13,17.25,,OFF
1692369301,13.723,0.014,10.113,138.78,17.25,,OFF
1692369302,13.725,0.011,10.100,138.62,17.25,,OFF
1692369303,13.723,0.013,10.102,138.63,17.25,,OFF
1692369304,13.724,0.013,10.114,138.80,17.25,,OFF
1692369305,13.725,0.013,10.075,138.28,17.25,,OFF
1692369306,13.724,0.012,10.088,138.45,17.25,,OFF
1692369307,13.723,0.011,10.041,137.79,17.25,,OFF
1692369308,13.690,0.011,7.472,102.29,17.25,,OFF
1692369309,13.643,0.012,5.112,69.74,17.25,,OFF
1692369310,13.615,0.012,5.061,68.91,17.25,,OFF
1692369311,13.605,0.013,5.546,75.45,17.25,,OFF
1692369312,13.591,0.011,5.223,70.99,17.25,,OFF
1692369313,13.577,0.011,5.092,69.13,17.25,,OFF
1692369314,13.574,0.009,5.389,73.15,17.25,,OFF
1692369315,13.569,0.013,5.056,68.60,17.25,,OFF
1692369316,13.559,0.012,5.064,68.66,17.25,,OFF
1692369317,13.552,0.014,5.099,69.10,17.25,,OFF
1692369318,13.555,0.011,5.225,70.82,17.25,,OFF
1692369319,13.554,0.012,5.347,72.47,17.25,,OFF
1692369320,13.507,0.011,2.218,29.96,17.25,,OFF
1692369321,13.491,0.011,2.456,33.13,17.25,,OFF
1692369322,13.479,0.011,2.402,32.38,17.25,,OFF
1692369323,13.473,0.012,2.433,32.78,17.25,,OFF
1692369324,13.486,0.010,5.337,71.97,17.25,,OFF
1692369325,13.509,0.012,6.391,86.34,17.25,,OFF
1692369326,13.566,0.011,9.576,129.91,17.25,,OFF
1692369327,13.589,0.011,9.807,133.27,17.25,,OFF
1692369328,13.605,0.011,9.713,132.15,17.25,,OFF
1692369329,13.618,0.012,9.625,131.07,17.25,,OFF
